cfeType,cfeExternalID,name,CLP,CP,qty,profit center,eCLP,eCP,code,description,qty,eCLP,eCP
TYPE 2,T2-SML,Small Configuration,,,,,,,,,,,
TYPE1,475266B,ABIO AirScale Capacity,7736.23,3481.3035,1,,,,,,,,
PCE,,,,,,PC00006831,7736.23,3481.3035,,,,,
SI,,,,,,,,,475266B,ABIO AirScale Capacity,1,7736.23,3481.3035
TYPE1,LTE_CAP_new,LTE capacity SW package; per LTE cell,1450,652.5,3,,,,,,,,
PCE,,,,,,PC00006849,143.992055610725,64.7964250248262,,,,,
SI,RLFZ9031.T,FZ Mini Macro 5W to 10W Power Lic LTU,,,,,,,RLFZ9031.T,FZ Mini Macro 5W to 10W Power Lic LTU,1,47.9973518702416,21.5988083416087
,RLFZ9032.T,FZ Mini Macro 10W to 20W Power Lic LTU,,,,,,,RLFZ9032.T,FZ Mini Macro 10W to 20W Power Lic LTU,1,95.9947037404833,43.1976166832175
,,,,,,PC00006843,1286.32903012248,578.848063555114,,,,,
,RL000366.T,AirScale System Module Activation LTU,,,,,,,RL000366.T,AirScale System Module Activation LTU,1,383.978814961933,172.79046673287
,RL000028.T,Cell Bandwidth - 20 MHz LTU,,,,,,,RL000028.T,Cell Bandwidth - 20 MHz LTU,1,345.58093346574,155.511420059583
,RL000047.T,Cell Bandwidth - 15 MHz LTU,,,,,,,RL000047.T,Cell Bandwidth - 15 MHz LTU,1,268.785170473353,120.953326713009
,RL000027.T,Cell Bandwidth - 10 MHz LTU,,,,,,,RL000027.T,Cell Bandwidth - 10 MHz LTU,1,167.990731545846,75.5958291956306
,RL000026.T,Cell Bandwidth - 5 MHz LTU,,,,,,,RL000026.T,Cell Bandwidth - 5 MHz LTU,1,119.993379675604,53.9970208540219
,,,,,,PC00006847,19.6789142667991,8.85551142005958,,,,,
,SR000834.1.T,SBTS Daily UP Data Volume (GB) LTU,,,,,,,SR000834.1.T,SBTS Daily UP Data Volume (GB) LTU,1,9.69546507778881,4.36295928500497
,SR001004.T,SBTS Data User LTU,,,,,,,SR001004.T,SBTS Data User LTU,1,9.98344918901026,4.49255213505462
